,Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Unnamed: 15,Unnamed: 16
1017,22/04/2004,03.00.00,-200,843.0,-200.0,"2,2",597.0,-200.0,1242.0,-200.0,1341.0,727.0,"14,3","59,2","0,9601",,
3394,30/07/2004,04.00.00,-200,867.0,-200.0,"3,5",680.0,35.0,932.0,51.0,1477.0,777.0,"23,7","51,2","1,4795",,
3898,20/08/2004,04.00.00,-200,795.0,-200.0,"1,0",494.0,-200.0,1398.0,-200.0,1353.0,400.0,"28,9","48,4","1,8982",,
2378,17/06/2004,20.00.00,"2,9",1111.0,-200.0,"14,3",1126.0,160.0,754.0,124.0,1883.0,1076.0,"27,3","37,5","1,3420",,
2088,05/06/2004,18.00.00,"2,3",1124.0,-200.0,"14,0",1118.0,134.0,793.0,105.0,1915.0,1021.0,"27,8","35,0","1,2820",,
3197,21/07/2004,23.00.00,"3,5",1239.0,-200.0,"14,4",1129.0,121.0,637.0,106.0,1839.0,1308.0,"28,9","39,1","1,5370",,
962,19/04/2004,20.00.00,-200,989.0,-200.0,"6,7",846.0,-200.0,960.0,-200.0,1476.0,846.0,"9,9","74,0","0,9009",,
765,11/04/2004,15.00.00,"0,9",854.0,48.0,"3,1",658.0,42.0,1409.0,46.0,1108.0,369.0,"22,0","19,0","0,4969",,
1144,27/04/2004,10.00.00,"1,9",1061.0,155.0,"8,2",908.0,141.0,968.0,99.0,1455.0,890.0,"22,8","29,1","0,7960",,
1418,08/05/2004,20.00.00,-200,1215.0,-200.0,"15,4",1161.0,-200.0,714.0,-200.0,1802.0,1237.0,"15,1","51,8","0,8816",,
2755,03/07/2004,13.00.00,"1,3",912.0,-200.0,"7,4",873.0,89.0,946.0,86.0,1436.0,614.0,"36,6","15,2","0,9177",,
2306,14/06/2004,20.00.00,"1,4",888.0,-200.0,"5,7",799.0,76.0,1023.0,74.0,1531.0,637.0,"21,7","46,5","1,1917",,
3789,15/08/2004,15.00.00,"0,4",738.0,-200.0,"2,4",610.0,14.0,1281.0,24.0,1204.0,404.0,"36,8","16,9","1,0347",,
1481,11/05/2004,11.00.00,3,1209.0,-200.0,"18,3",1248.0,188.0,712.0,119.0,1891.0,1295.0,"23,5","29,5","0,8435",,
1585,15/05/2004,19.00.00,"2,5",1159.0,-200.0,"12,1",1054.0,158.0,878.0,120.0,1603.0,1046.0,"23,0","28,7","0,7976",,
1987,01/06/2004,13.00.00,"2,5",1263.0,-200.0,"15,7",1171.0,192.0,759.0,88.0,2029.0,1290.0,"24,0","49,3","1,4509",,
3268,24/07/2004,22.00.00,"1,1",984.0,-200.0,"5,0",762.0,47.0,870.0,57.0,1557.0,560.0,"27,3","45,7","1,6308",,
1700,20/05/2004,14.00.00,"1,9",1196.0,-200.0,"12,3",1061.0,116.0,791.0,120.0,1649.0,899.0,"31,1","22,3","0,9888",,
1741,22/05/2004,07.00.00,"1,2",1153.0,-200.0,"9,2",947.0,107.0,795.0,80.0,1643.0,1076.0,"17,2","52,9","1,0276",,
2111,06/06/2004,17.00.00,1,844.0,-200.0,"4,9",757.0,71.0,1186.0,67.0,1445.0,556.0,"26,3","31,5","1,0643",,
1137,27/04/2004,03.00.00,"0,5",842.0,41.0,"1,5",545.0,-200.0,1423.0,-200.0,1224.0,424.0,"15,2","45,8","0,7864",,
826,14/04/2004,04.00.00,-200,840.0,40.0,"1,7",563.0,45.0,1349.0,57.0,1275.0,755.0,"10,7","63,8","0,8174",,
3211,22/07/2004,13.00.00,2,1138.0,-200.0,"12,2",1055.0,117.0,712.0,125.0,1624.0,1028.0,"42,0","15,8","1,2759",,
1843,26/05/2004,13.00.00,"1,8",1088.0,-200.0,"14,0",1116.0,127.0,1128.0,112.0,1449.0,1060.0,"31,6","16,4","0,7489",,
1090,25/04/2004,04.00.00,-200,777.0,40.0,"1,2",521.0,23.0,1535.0,33.0,1121.0,350.0,"12,5","51,2","0,7374",,
1930,30/05/2004,04.00.00,-200,815.0,-200.0,"5,2",774.0,43.0,1113.0,55.0,1374.0,712.0,"17,0","47,7","0,9185",,
559,03/04/2004,01.00.00,"1,3",1141.0,98.0,"6,3",827.0,73.0,936.0,88.0,1488.0,1110.0,"16,2","54,2","0,9933",,
1342,05/05/2004,16.00.00,"2,4",1070.0,-200.0,"11,2",1022.0,126.0,824.0,88.0,1740.0,933.0,"17,5","59,2","1,1725",,
3088,17/07/2004,10.00.00,"2,2",1107.0,-200.0,"12,9",1080.0,167.0,714.0,138.0,1675.0,1348.0,"30,9","26,9","1,1835",,
928,18/04/2004,10.00.00,-200,1219.0,-200.0,"6,8",849.0,-200.0,901.0,-200.0,1664.0,912.0,"14,5","77,2","1,2695",,
1180,28/04/2004,22.00.00,"1,4",1146.0,156.0,"8,6",923.0,79.0,845.0,96.0,1575.0,1166.0,"19,6","49,8","1,1221",,
2955,11/07/2004,21.00.00,"1,8",1035.0,-200.0,"11,0",1015.0,143.0,757.0,124.0,1651.0,940.0,"24,2","35,9","1,0684",,
583,04/04/2004,01.00.00,-200,1215.0,-200.0,"6,7",843.0,-200.0,929.0,-200.0,1551.0,862.0,"15,9","59,2","1,0635",,
2851,07/07/2004,13.00.00,"2,2",1068.0,-200.0,"15,1",1152.0,193.0,739.0,142.0,1683.0,1309.0,"42,6","9,6","0,8012",,
1685,19/05/2004,23.00.00,2,1255.0,-200.0,"9,6",963.0,126.0,781.0,122.0,1665.0,1024.0,"18,9","52,2","1,1313",,
562,03/04/2004,04.00.00,"0,8",986.0,57.0,"3,0",651.0,60.0,1145.0,74.0,1380.0,891.0,"14,5","58,0","0,9488",,
3063,16/07/2004,09.00.00,"3,1",1211.0,-200.0,"14,8",1143.0,269.0,632.0,157.0,1860.0,1331.0,"24,2","48,5","1,4452",,
3559,06/08/2004,01.00.00,-200,1030.0,-200.0,"6,8",848.0,77.0,734.0,71.0,1691.0,1048.0,"21,8","74,1","1,9150",,
590,04/04/2004,08.00.00,-200,1130.0,-200.0,"4,2",720.0,-200.0,1063.0,-200.0,1461.0,828.0,"15,3","59,0","1,0181",,
1555,14/05/2004,13.00.00,"2,5",1072.0,-200.0,"13,0",1084.0,148.0,843.0,114.0,1622.0,1017.0,"27,7","20,8","0,7599",,
3126,19/07/2004,00.00.00,"0,5",976.0,-200.0,"6,0",814.0,66.0,855.0,77.0,1448.0,1018.0,"28,0","30,6","1,1396",,
3075,16/07/2004,21.00.00,"2,9",1102.0,-200.0,"16,5",1195.0,196.0,690.0,149.0,1762.0,1325.0,"28,5","27,8","1,0665",,
2565,25/06/2004,15.00.00,"1,6",951.0,-200.0,"7,5",880.0,89.0,920.0,84.0,1539.0,637.0,"35,9","18,8","1,0912",,
3156,20/07/2004,06.00.00,-200,1138.0,-200.0,"9,9",974.0,122.0,683.0,91.0,1716.0,1338.0,"23,9","46,5","1,3637",,
686,08/04/2004,08.00.00,"5,1",1512.0,802.0,"27,1",1482.0,308.0,596.0,118.0,2189.0,1605.0,"9,9","64,3","0,7859",,
427,28/03/2004,13.00.00,"1,4",995.0,103.0,"5,7",796.0,66.0,1159.0,72.0,1287.0,587.0,"21,2","23,1","0,5768",,
1295,03/05/2004,17.00.00,"3,9",1491.0,-200.0,"23,6",1392.0,190.0,630.0,128.0,2149.0,1473.0,"26,4","34,6","1,1724",,
173,17/03/2004,23.00.00,"2,6",1488.0,216.0,"15,7",1171.0,178.0,731.0,127.0,1778.0,1705.0,"16,0","50,9","0,9206",,
533,01/04/2004,23.00.00,2,1203.0,120.0,"8,5",920.0,122.0,898.0,103.0,1529.0,1118.0,"14,9","52,0","0,8757",,
2331,15/06/2004,21.00.00,"2,2",1009.0,-200.0,"11,5",1034.0,110.0,806.0,109.0,1763.0,925.0,"25,3","39,4","1,2524",,
718,09/04/2004,16.00.00,"3,6",-200.0,357.0,"-200,0",-200.0,214.0,-200.0,139.0,-200.0,-200.0,-200,-200,-200,,
3311,26/07/2004,17.00.00,-200,1026.0,-200.0,"12,0",1048.0,124.0,767.0,118.0,1651.0,912.0,"34,6","23,5","1,2691",,
824,14/04/2004,02.00.00,"0,7",900.0,66.0,"2,7",635.0,47.0,1207.0,60.0,1307.0,836.0,"11,1","63,2","0,8331",,
3746,13/08/2004,20.00.00,"1,1",919.0,-200.0,"5,7",796.0,62.0,870.0,80.0,1538.0,560.0,"28,1","41,1","1,5350",,
2157,08/06/2004,15.00.00,"2,6",1083.0,-200.0,"14,8",1141.0,177.0,825.0,143.0,1793.0,1008.0,"37,7","17,7","1,1383",,
3350,28/07/2004,08.00.00,-200,1210.0,-200.0,"26,7",1472.0,221.0,515.0,120.0,2112.0,1525.0,"22,4","38,0","1,0201",,
1107,25/04/2004,21.00.00,"1,4",940.0,95.0,"5,1",769.0,100.0,1103.0,90.0,1310.0,731.0,"15,5","37,0","0,6447",,
1854,27/05/2004,00.00.00,-200,1026.0,-200.0,"9,5",960.0,-200.0,1072.0,-200.0,1471.0,1078.0,"19,9","36,3","0,8349",,
1864,27/05/2004,10.00.00,-200,1074.0,-200.0,"9,0",939.0,-200.0,1071.0,-200.0,1513.0,997.0,"25,6","28,0","0,9088",,
8,11/03/2004,02.00.00,"0,9",1094.0,24.0,"2,3",609.0,45.0,1579.0,60.0,1276.0,620.0,"10,7","59,7","0,7648",,
684,08/04/2004,06.00.00,"1,1",939.0,59.0,"4,8",754.0,74.0,1169.0,64.0,1384.0,797.0,"8,1","70,4","0,7609",,
1343,05/05/2004,17.00.00,"1,6",981.0,-200.0,"10,0",978.0,79.0,857.0,72.0,1682.0,835.0,"17,7","56,9","1,1392",,
2560,25/06/2004,10.00.00,"1,9",1049.0,-200.0,"8,0",898.0,153.0,858.0,113.0,1671.0,921.0,"29,9","33,2","1,3793",,
2141,07/06/2004,23.00.00,"1,7",972.0,-200.0,"8,5",919.0,103.0,934.0,101.0,1668.0,904.0,"22,4","46,9","1,2544",,
640,06/04/2004,10.00.00,"2,9",1329.0,470.0,"14,1",1119.0,182.0,707.0,107.0,1823.0,1288.0,"19,6","41,8","0,9407",,
857,15/04/2004,11.00.00,"3,8",1454.0,460.0,"17,5",1225.0,299.0,661.0,135.0,1809.0,1654.0,"17,1","42,1","0,8120",,
3965,22/08/2004,23.00.00,-200,902.0,-200.0,"5,5",790.0,-200.0,856.0,-200.0,1428.0,799.0,"24,7","41,6","1,2751",,
1259,02/05/2004,05.00.00,"0,6",815.0,-200.0,"2,6",628.0,33.0,1212.0,37.0,1426.0,689.0,"14,7","65,2","1,0811",,
497,31/03/2004,11.00.00,"1,9",1277.0,156.0,"7,7",886.0,140.0,902.0,109.0,1579.0,1004.0,"12,2","70,0","0,9924",,
1410,08/05/2004,12.00.00,-200,1213.0,-200.0,"11,1",1018.0,-200.0,760.0,-200.0,1778.0,1061.0,"13,3","76,8","1,1703",,
2781,04/07/2004,15.00.00,"0,5",852.0,-200.0,"4,1",718.0,32.0,1109.0,47.0,1307.0,468.0,"39,3","14,5","1,0149",,
2120,07/06/2004,02.00.00,"0,4",760.0,-200.0,"2,6",626.0,22.0,1263.0,38.0,1386.0,575.0,"17,8","54,1","1,0938",,
3551,05/08/2004,17.00.00,-200,1140.0,-200.0,"9,6",963.0,122.0,669.0,102.0,1815.0,918.0,"21,5","78,8","1,9939",,
3412,30/07/2004,22.00.00,-200,1149.0,-200.0,"14,8",1143.0,112.0,620.0,111.0,1827.0,1143.0,"28,1","40,3","1,5086",,
2096,06/06/2004,02.00.00,"1,1",968.0,-200.0,"6,6",840.0,47.0,891.0,58.0,1727.0,788.0,"17,5","79,1","1,5709",,
2795,05/07/2004,05.00.00,"0,4",799.0,-200.0,"2,4",613.0,38.0,1120.0,43.0,1387.0,641.0,"21,6","45,7","1,1665",,
347,25/03/2004,05.00.00,"0,5",878.0,21.0,"0,6",457.0,12.0,1935.0,20.0,1158.0,344.0,"9,9","66,8","0,8152",,
2653,29/06/2004,07.00.00,"3,4",1384.0,-200.0,"23,5",1391.0,228.0,552.0,102.0,2316.0,1548.0,"24,7","49,5","1,5201",,
3374,29/07/2004,08.00.00,-200,1281.0,-200.0,"26,6",1469.0,287.0,491.0,136.0,2179.0,1669.0,"24,0","36,6","1,0763",,
2272,13/06/2004,10.00.00,"0,6",811.0,-200.0,"2,5",622.0,52.0,1315.0,60.0,1307.0,432.0,"22,3","35,3","0,9371",,
2172,09/06/2004,06.00.00,1,935.0,-200.0,"8,1",905.0,88.0,899.0,69.0,1675.0,954.0,"20,5","54,8","1,3073",,
471,30/03/2004,09.00.00,"4,2",1556.0,695.0,"21,5",1337.0,283.0,674.0,150.0,1852.0,1689.0,"16,3","28,8","0,5305",,
3265,24/07/2004,19.00.00,"1,4",1026.0,-200.0,"5,6",791.0,76.0,875.0,88.0,1549.0,664.0,"29,9","37,9","1,5745",,
1865,27/05/2004,11.00.00,-200,1022.0,-200.0,"8,4",914.0,-200.0,1132.0,-200.0,1446.0,847.0,"26,4","23,1","0,7853",,
721,09/04/2004,19.00.00,"3,4",-200.0,303.0,"-200,0",-200.0,197.0,-200.0,137.0,-200.0,-200.0,-200,-200,-200,,
1627,17/05/2004,13.00.00,"1,7",984.0,-200.0,"9,1",945.0,115.0,990.0,88.0,1423.0,747.0,"25,8","19,5","0,6392",,
1386,07/05/2004,12.00.00,"1,5",851.0,-200.0,"8,2",906.0,89.0,989.0,95.0,1418.0,545.0,"21,2","27,7","0,6864",,
577,03/04/2004,19.00.00,-200,1697.0,-200.0,"26,7",1471.0,-200.0,625.0,-200.0,2153.0,1548.0,"22,1","36,8","0,9681",,
3532,04/08/2004,22.00.00,-200,987.0,-200.0,"5,5",790.0,-200.0,838.0,-200.0,1608.0,830.0,"25,4","52,7","1,6867",,
3970,23/08/2004,04.00.00,-200,769.0,-200.0,"2,0",582.0,-200.0,1105.0,-200.0,1306.0,616.0,"20,6","55,1","1,3237",,
384,26/03/2004,18.00.00,"2,4",1168.0,239.0,"11,6",1037.0,125.0,868.0,105.0,1580.0,990.0,"12,1","45,6","0,6403",,
2138,07/06/2004,20.00.00,"2,5",1029.0,-200.0,"13,4",1097.0,155.0,825.0,125.0,1827.0,980.0,"27,0","36,7","1,2898",,
681,08/04/2004,03.00.00,"0,8",890.0,63.0,"3,3",672.0,-200.0,1183.0,-200.0,1338.0,781.0,"7,6","80,6","0,8437",,
3997,24/08/2004,07.00.00,"1,6",965.0,-200.0,"10,0",977.0,149.0,725.0,94.0,1515.0,1014.0,"20,6","45,5","1,0925",,
860,15/04/2004,14.00.00,4,1418.0,542.0,"19,5",1282.0,231.0,681.0,129.0,1890.0,1418.0,"19,2","35,7","0,7826",,
1669,19/05/2004,07.00.00,"3,1",1408.0,-200.0,"20,9",1321.0,173.0,618.0,94.0,2044.0,1495.0,"16,4","53,4","0,9863",,
88,14/03/2004,10.00.00,"2,2",1332.0,129.0,"8,6",923.0,144.0,952.0,98.0,1614.0,1225.0,"14,5","53,1","0,8728",,
1766,23/05/2004,08.00.00,"0,8",1008.0,-200.0,"4,3",729.0,68.0,1034.0,65.0,1490.0,795.0,"20,0","48,6","1,1199",,
2874,08/07/2004,12.00.00,"1,4",1070.0,-200.0,"10,6",1000.0,147.0,801.0,115.0,1538.0,1039.0,"40,3","15,8","1,1604",,
1087,25/04/2004,01.00.00,"1,3",984.0,70.0,"3,9",707.0,71.0,1131.0,73.0,1359.0,494.0,"12,4","64,1","0,9209",,
3775,15/08/2004,01.00.00,"0,5",848.0,-200.0,"3,0",650.0,24.0,989.0,34.0,1479.0,610.0,"25,7","52,5","1,7077",,
329,24/03/2004,11.00.00,"1,7",1138.0,118.0,"8,0",898.0,136.0,950.0,88.0,1505.0,966.0,"15,1","44,3","0,7535",,
2669,29/06/2004,23.00.00,"2,2",1194.0,-200.0,"13,7",1106.0,100.0,667.0,97.0,1985.0,1194.0,"28,2","48,1","1,8144",,
3464,02/08/2004,02.00.00,"0,7",942.0,-200.0,"3,7",696.0,45.0,916.0,51.0,1542.0,465.0,"26,2","61,6","2,0575",,
2676,30/06/2004,06.00.00,"0,9",1009.0,-200.0,"7,4",875.0,81.0,797.0,61.0,1738.0,1060.0,"26,4","53,1","1,7987",,
2475,21/06/2004,21.00.00,"2,1",1007.0,-200.0,"11,4",1027.0,114.0,798.0,112.0,1737.0,904.0,"23,1","41,5","1,1582",,
3582,07/08/2004,00.00.00,"1,4",974.0,-200.0,"8,5",920.0,75.0,718.0,62.0,1755.0,1062.0,"23,8","65,0","1,8897",,
2313,15/06/2004,03.00.00,"0,4",732.0,-200.0,"1,0",503.0,-200.0,1525.0,-200.0,1321.0,441.0,"21,0","47,1","1,1546",,
1038,23/04/2004,00.00.00,-200,1119.0,-200.0,"10,0",979.0,-200.0,873.0,-200.0,1593.0,1170.0,"17,2","47,9","0,9334",,
3326,27/07/2004,08.00.00,-200,1041.0,-200.0,"9,6",962.0,119.0,728.0,102.0,1694.0,936.0,"24,6","45,1","1,3714",,
3346,28/07/2004,04.00.00,-200,779.0,-200.0,"3,2",663.0,45.0,1022.0,65.0,1337.0,671.0,"20,5","41,2","0,9802",,
836,14/04/2004,14.00.00,-200,1164.0,-200.0,"12,8",1076.0,-200.0,788.0,-200.0,1653.0,1032.0,"21,4","28,7","0,7231",,
1594,16/05/2004,04.00.00,-200,808.0,-200.0,"2,6",630.0,30.0,1234.0,43.0,1256.0,573.0,"15,2","45,5","0,7830",,
2760,03/07/2004,18.00.00,"1,2",929.0,-200.0,"7,3",869.0,80.0,942.0,89.0,1454.0,624.0,"35,3","17,0","0,9561",,
2786,04/07/2004,20.00.00,"1,6",985.0,-200.0,"9,1",944.0,102.0,866.0,97.0,1541.0,833.0,"30,1","23,5","0,9869",,
2531,24/06/2004,05.00.00,"0,6",877.0,-200.0,"3,1",658.0,41.0,1047.0,46.0,1530.0,779.0,"21,2","60,9","1,5092",,
2904,09/07/2004,18.00.00,"2,2",970.0,-200.0,"14,0",1117.0,180.0,786.0,162.0,1579.0,844.0,"31,0","17,1","0,7526",,
1449,10/05/2004,03.00.00,-200,803.0,-200.0,"1,3",531.0,-200.0,1462.0,-200.0,1318.0,489.0,"13,8","63,2","0,9952",,
1053,23/04/2004,15.00.00,"4,4",1460.0,682.0,"25,3",1438.0,260.0,680.0,196.0,1953.0,1489.0,"30,0","19,4","0,8100",,
988,20/04/2004,22.00.00,-200,991.0,-200.0,"7,7",889.0,-200.0,932.0,-200.0,1550.0,933.0,"16,0","52,0","0,9375",,
3193,21/07/2004,19.00.00,"3,8",1416.0,-200.0,"21,5",1339.0,165.0,544.0,163.0,1998.0,1492.0,"36,1","25,5","1,4949",,
3017,14/07/2004,11.00.00,"1,8",932.0,-200.0,"11,3",1026.0,195.0,851.0,122.0,1523.0,944.0,"33,4","17,1","0,8627",,
185,18/03/2004,11.00.00,"2,8",1473.0,-200.0,"14,3",1127.0,224.0,831.0,152.0,1752.0,1568.0,"20,8","34,4","0,8365",,
1015,22/04/2004,01.00.00,-200,937.0,-200.0,"4,6",741.0,-200.0,1058.0,-200.0,1420.0,923.0,"16,2","53,4","0,9775",,
2424,19/06/2004,18.00.00,"1,1",-200.0,-200.0,"-200,0",-200.0,44.0,-200.0,56.0,-200.0,-200.0,-200,-200,-200,,
983,20/04/2004,17.00.00,-200,1327.0,-200.0,"19,7",1289.0,-200.0,712.0,-200.0,1938.0,1272.0,"25,8","29,9","0,9808",,
3954,22/08/2004,12.00.00,-200,816.0,-200.0,"4,6",742.0,-200.0,1009.0,-200.0,1305.0,537.0,"35,5","18,2","1,0376",,
2024,03/06/2004,02.00.00,-200,893.0,-200.0,"4,6",741.0,31.0,1056.0,36.0,1664.0,743.0,"18,9","79,0","1,7040",,
2744,03/07/2004,02.00.00,"0,7",897.0,-200.0,"4,6",745.0,50.0,968.0,77.0,1461.0,807.0,"23,4","40,6","1,1571",,
3701,11/08/2004,23.00.00,"1,5",1074.0,-200.0,"7,6",884.0,63.0,764.0,57.0,1726.0,838.0,"28,1","54,1","2,0290",,
2462,21/06/2004,08.00.00,"3,7",1221.0,-200.0,"23,3",1386.0,232.0,626.0,109.0,2138.0,1412.0,"23,3","38,6","1,0919",,
672,07/04/2004,18.00.00,"3,3",1221.0,435.0,"13,5",1101.0,185.0,799.0,121.0,1700.0,996.0,"14,7","48,7","0,8089",,
1919,29/05/2004,17.00.00,"0,6",873.0,-200.0,"5,6",792.0,73.0,1247.0,79.0,1397.0,589.0,"23,2","30,2","0,8442",,
3730,13/08/2004,04.00.00,"0,5",817.0,-200.0,"1,7",558.0,7.0,1232.0,11.0,1485.0,452.0,"25,4","63,1","2,0184",,
3562,06/08/2004,04.00.00,-200,893.0,-200.0,"3,4",676.0,45.0,930.0,55.0,1567.0,859.0,"21,4","75,5","1,9033",,
902,17/04/2004,08.00.00,-200,1163.0,-200.0,"8,8",930.0,-200.0,849.0,-200.0,1691.0,985.0,"12,8","80,8","1,1863",,
1356,06/05/2004,06.00.00,"1,3",948.0,-200.0,"6,1",817.0,128.0,1048.0,92.0,1546.0,695.0,"13,1","65,6","0,9815",,
1229,30/04/2004,23.00.00,"3,1",1406.0,275.0,"13,7",1107.0,167.0,718.0,108.0,1872.0,1384.0,"17,7","66,9","1,3422",,
7,11/03/2004,01.00.00,1,1136.0,31.0,"3,3",672.0,62.0,1453.0,76.0,1333.0,730.0,"10,7","60,0","0,7702",,
1071,24/04/2004,09.00.00,3,1409.0,415.0,"15,6",1169.0,188.0,685.0,105.0,1874.0,1459.0,"20,0","45,0","1,0390",,
2400,18/06/2004,18.00.00,"2,9",1091.0,-200.0,"16,7",1201.0,167.0,738.0,164.0,1834.0,945.0,"33,1","24,3","1,2087",,
109,15/03/2004,07.00.00,"2,2",1314.0,107.0,"9,7",966.0,228.0,897.0,89.0,1710.0,1235.0,"11,3","70,2","0,9401",,
102,15/03/2004,00.00.00,"1,8",1239.0,66.0,"7,4",872.0,104.0,985.0,99.0,1547.0,1250.0,"14,8","54,7","0,9164",,
3363,28/07/2004,21.00.00,-200,960.0,-200.0,"9,6",964.0,84.0,780.0,102.0,1532.0,913.0,"28,6","27,2","1,0480",,
1200,29/04/2004,18.00.00,"5,4",1664.0,657.0,"28,6",1519.0,271.0,553.0,145.0,2312.0,1820.0,"20,2","48,6","1,1354",,
3390,30/07/2004,00.00.00,-200,1083.0,-200.0,"11,1",1019.0,110.0,677.0,104.0,1720.0,1087.0,"25,7","46,1","1,5025",,
2486,22/06/2004,08.00.00,5,1332.0,-200.0,"30,2",1556.0,387.0,523.0,134.0,2394.0,1660.0,"20,6","47,7","1,1448",,
1698,20/05/2004,12.00.00,2,1218.0,-200.0,"12,0",1051.0,121.0,796.0,108.0,1689.0,881.0,"30,3","23,3","0,9869",,
1534,13/05/2004,16.00.00,"3,1",1288.0,-200.0,"16,4",1191.0,178.0,691.0,123.0,1910.0,1192.0,"19,8","44,3","1,0104",,
2182,09/06/2004,16.00.00,2,1052.0,-200.0,"11,1",1019.0,140.0,896.0,125.0,1610.0,836.0,"40,3","14,2","1,0494",,
3055,16/07/2004,01.00.00,1,886.0,-200.0,"6,5",834.0,48.0,904.0,67.0,1440.0,767.0,"23,8","36,9","1,0748",,
1334,05/05/2004,08.00.00,-200,1449.0,-200.0,"22,0",1350.0,-200.0,571.0,-200.0,2264.0,1452.0,"16,4","70,8","1,3088",,
2355,16/06/2004,21.00.00,"2,5",1075.0,-200.0,"12,9",1079.0,166.0,764.0,117.0,1798.0,1111.0,"24,4","40,0","1,2079",,
3690,11/08/2004,12.00.00,"1,3",1066.0,-200.0,"6,0",813.0,63.0,792.0,56.0,1657.0,764.0,"36,2","34,9","2,0578",,
3606,08/08/2004,00.00.00,"1,5",963.0,-200.0,"7,4",872.0,65.0,767.0,69.0,1617.0,803.0,"25,7","54,1","1,7546",,
1533,13/05/2004,15.00.00,"2,1",1084.0,-200.0,"9,8",970.0,132.0,818.0,98.0,1626.0,845.0,"19,5","45,5","1,0189",,
3685,11/08/2004,07.00.00,"1,4",1114.0,-200.0,"9,5",958.0,89.0,663.0,42.0,1836.0,1167.0,"26,8","60,5","2,1008",,
2530,24/06/2004,04.00.00,"0,6",871.0,-200.0,"2,8",639.0,21.0,1062.0,35.0,1528.0,684.0,"23,7","53,5","1,5460",,
3353,28/07/2004,11.00.00,-200,914.0,-200.0,"10,4",994.0,113.0,872.0,91.0,1481.0,763.0,"34,2","15,8","0,8371",,
1955,31/05/2004,05.00.00,-200,765.0,-200.0,"2,3",609.0,48.0,1304.0,57.0,1319.0,581.0,"16,4","52,4","0,9709",,
2624,28/06/2004,02.00.00,"0,6",874.0,-200.0,"3,4",679.0,26.0,1049.0,41.0,1444.0,619.0,"26,0","41,2","1,3598",,
1877,27/05/2004,23.00.00,-200,1038.0,-200.0,"9,6",961.0,-200.0,1026.0,-200.0,1530.0,949.0,"19,4","38,1","0,8511",,
2,10/03/2004,20.00.00,"2,2",1402.0,88.0,"9,0",939.0,131.0,1140.0,114.0,1555.0,1074.0,"11,9","54,0","0,7502",,
353,25/03/2004,11.00.00,"1,6",1066.0,116.0,"6,8",849.0,130.0,1039.0,98.0,1468.0,829.0,"11,0","64,4","0,8447",,
1878,28/05/2004,00.00.00,-200,975.0,-200.0,"7,8",892.0,-200.0,1015.0,-200.0,1480.0,890.0,"19,4","40,7","0,9045",,
1256,02/05/2004,02.00.00,"0,9",938.0,-200.0,"5,5",789.0,38.0,989.0,55.0,1536.0,864.0,"16,4","62,2","1,1507",,
1151,27/04/2004,17.00.00,"2,9",1215.0,274.0,"15,5",1164.0,155.0,817.0,113.0,1689.0,1015.0,"27,0","22,3","0,7860",,
2143,08/06/2004,01.00.00,"0,7",825.0,-200.0,"4,2",720.0,38.0,1129.0,55.0,1511.0,678.0,"21,0","51,9","1,2794",,
1784,24/05/2004,02.00.00,"0,2",774.0,-200.0,"1,0",500.0,13.0,1536.0,21.0,1169.0,352.0,"15,8","45,2","0,8052",,
3438,01/08/2004,00.00.00,2,1104.0,-200.0,"11,2",1020.0,106.0,681.0,82.0,1771.0,1086.0,"26,6","47,5","1,6265",,
2687,30/06/2004,17.00.00,"4,2",1388.0,-200.0,"24,5",1418.0,287.0,568.0,226.0,2250.0,1913.0,"38,8","24,2","1,6433",,
3607,08/08/2004,01.00.00,"1,1",918.0,-200.0,"5,8",805.0,43.0,816.0,55.0,1571.0,759.0,"25,4","55,1","1,7628",,
3915,20/08/2004,21.00.00,-200,996.0,-200.0,"6,8",848.0,-200.0,763.0,-200.0,1657.0,713.0,"28,2","49,8","1,8795",,
581,03/04/2004,23.00.00,-200,1316.0,-200.0,"9,3",952.0,-200.0,847.0,-200.0,1644.0,1047.0,"17,5","53,8","1,0648",,
3842,17/08/2004,20.00.00,-200,1029.0,-200.0,"7,5",877.0,-200.0,807.0,-200.0,1489.0,776.0,"30,4","29,8","1,2712",,
2908,09/07/2004,22.00.00,"1,5",1049.0,-200.0,"9,5",958.0,98.0,794.0,104.0,1648.0,861.0,"23,7","43,4","1,2495",,
3384,29/07/2004,18.00.00,-200,1081.0,-200.0,"14,0",1117.0,102.0,689.0,127.0,1668.0,828.0,"35,7","19,8","1,1399",,
3212,22/07/2004,14.00.00,"1,5",1079.0,-200.0,"11,1",1019.0,108.0,749.0,113.0,1559.0,929.0,"42,8","14,3","1,2003",,
319,24/03/2004,01.00.00,"1,1",997.0,74.0,"4,6",744.0,76.0,1151.0,79.0,1405.0,832.0,"10,8","62,5","0,8082",,
2427,19/06/2004,21.00.00,"1,4",-200.0,-200.0,"-200,0",-200.0,56.0,-200.0,70.0,-200.0,-200.0,-200,-200,-200,,
